time_s,dominant_freq_hz,magnitude
0.0,440.199637,124274.7309167234
0.024989,440.199637,842844.3193760513
0.049977,400.181488,667388.1871741125
0.074966,480.217786,725705.356988337
0.099955,400.181488,577276.5893054896
0.124943,480.217786,819158.8827246568
0.149932,440.199637,613751.1734067795
0.174921,400.181488,165537.9012139796
0.199909,360.163339,33567.98019959862
0.224898,40.018149,1523.0838259280638
0.249887,40.018149,1836.6669131009949
0.274875,40.018149,1819.4066741097652
0.299864,40.018149,1817.3122595254708
0.324853,40.018149,1826.8935296988377
0.349841,40.018149,1805.762590422698
0.37483,40.018149,1813.1475921341585
0.399819,40.018149,1811.6816406813195
0.424807,40.018149,1819.1946022369623
0.449796,40.018149,1820.0726556455402
0.474785,40.018149,1821.8995142830736
0.499773,40.018149,1818.3716729149505
0.524762,40.018149,1814.8561011121355
0.549751,40.018149,1828.0803708485919
0.574739,40.018149,1813.670918752285
0.599728,400.181488,73286.94829336443
0.624717,360.163339,826624.2289310775
0.649705,200.090744,698817.6357752277
0.674694,200.090744,700255.916552216
0.699683,200.090744,697417.0427695048
0.724671,200.090744,770665.5702442622
0.74966,240.108893,231577.5042667241
0.774649,680.30853,797185.9538143502
0.799637,680.30853,678748.0385143976
0.824626,680.30853,563658.9253709512
0.849615,680.30853,447461.0244383462
0.874603,680.30853,338187.65748951084
0.899592,360.163339,236797.0311369546
0.92458,320.145191,123574.18952215406
0.949569,680.30853,31795.742131657786
0.974558,680.30853,3928.328074053614
0.999546,40.018149,1737.2024509875955
1.024535,40.018149,1816.9705382321035
1.049524,600.272232,80292.5241795986
1.074512,560.254083,803485.37384537
1.099501,200.090744,703477.8776325637
1.12449,200.090744,699962.0758960359
1.149478,200.090744,706423.772482236
1.174467,200.090744,707479.5415731068
1.199456,680.30853,221882.2465808068
1.224444,560.254083,830631.4298631321
1.249433,200.090744,699705.6159243593
1.274422,200.090744,699244.0858977711
1.29941,200.090744,698902.2490787982
1.324399,200.090744,710272.613346239
1.349388,360.163339,231230.68822982485
1.374376,320.145191,123627.25825457265
1.399365,40.018149,181033.57929753786
1.424354,480.217786,814069.934623381
1.449342,440.199637,719453.4294803893
1.474331,240.108893,617201.6432916742
1.49932,200.090744,616575.8314881684
1.524308,240.108893,614222.8021721483
1.549297,320.145191,228184.79644131113
1.574286,280.127042,119060.83754356763
1.599274,40.018149,92694.50756102486
1.624263,600.272232,755748.2165725067
1.649252,240.108893,718623.449631565
1.67424,240.108893,729573.3456439473
1.699229,240.108893,705662.3620522661
1.724218,240.108893,714597.1116156157
1.749206,280.127042,222033.55430600335
1.774195,280.127042,117513.19758011843
1.799184,40.018149,172447.18948601742
1.824172,360.163339,845226.1450380157
1.849161,520.235935,715276.3948236523
1.87415,280.127042,1080624.76807682
1.899138,280.127042,609351.5780724833
1.924127,280.127042,762492.9156489538
1.949116,240.108893,218281.33277559828
1.974104,320.145191,753958.8766527675
1.999093,280.127042,711112.6593325379
2.024082,240.108893,538804.3513810592
2.04907,240.108893,462078.7905984594
2.074059,200.090744,326689.83664680406
2.099048,200.090744,253796.08569196524
2.124036,200.090744,800019.8376491609
2.149025,200.090744,697562.5746684889
2.174014,200.090744,703605.8190440565
2.199002,200.090744,703371.7522793325
2.223991,200.090744,701551.2479022735
2.24898,400.181488,85734.19968869741
2.273968,320.145191,750071.9684265736
2.298957,280.127042,706197.2610119386
2.323946,240.108893,539734.2540263417
2.348934,240.108893,459990.6754741767
2.373923,200.090744,325932.48193238577
2.398912,200.090744,316018.81624091667
2.4239,240.108893,813561.3410459276
2.448889,120.054446,650880.6936219034
2.473878,120.054446,679355.6371319072
2.498866,120.054446,632420.955220563
2.523855,120.054446,543922.836248519
2.548844,160.072595,220264.5179932282
2.573832,160.072595,104419.87001992541
2.598821,40.018149,8968.023615674267
2.62381,40.018149,1662.728267487725
2.648798,40.018149,1828.2597612414224
2.673787,40.018149,1822.2148383443198
