dominant_freq_hz
440
440
400
480
400
480
440
400
360
40
40
40
40
40
40
40
40
40
40
40
40
40
40
40
400
360
200
200
200
200
240
680
680
680
680
680
360
320
680
680
40
40
600
560
200
200
200
200
680
560
200
200
200
200
360
320
40
480
440
240
200
240
320
280
40
600
240
240
240
240
280
280
40
360
520
280
280
280
240
320
280
240
240
200
200
200
200
200
200
200
400
320
280
240
240
200
200
240
120
120
120
120
160
160
40
40
40
40
